Movie Title,Actor 1,Actor 2,Actor 3,Year
The Shawshank Redemption,Tim Robbins,Morgan Freeman,Bob Gunton,1994
The Godfather,Marlon Brando,Al Pacino,James Caan,1972
The Godfather: Part II,Robert De Niro,Al Pacino,Robert Duvall,1974
The Dark Knight,Christian Bale,Heath Ledger,Aaron Eckhart,2008
12 Angry Men,Henry Fonda,Lee J. Cobb,Martin Balsam,1957
Pulp Fiction,John Travolta,Samuel L. Jackson,Uma Thurman,1994
The Lord of the Rings: The Return of the King,Elijah Wood,Ian McKellen,Viggo Mortensen,2003
Casablanca,Humphrey Bogart,Ingrid Bergman,Paul Henreid,1942
Forrest Gump,Tom Hanks,Robin Wright,Gary Sinise,1994
Good Will Hunting,Matt Damon,Robin Williams,Ben Affleck,1997
Titanic,Leonardo DiCaprio,Kate Winslet,Billy Zane,1997
The Matrix,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,1999
Indiana Jones and the Raiders of the Lost Ark,Harrison Ford,Karen Allen,Paul Freeman,1981
E.T. the Extra-Terrestrial,Henry Thomas,Drew Barrymore,Peter Coyote,1982
Jurassic Park,Sam Neill,Laura Dern,Jeff Goldblum,1993
The Silence of the Lambs,Jodie Foster,Anthony Hopkins,Scott Glenn,1991
The Green Mile,Tom Hanks,Michael Clarke Duncan,David Morse,1999
The Lion King,Matthew Broderick,James Earl Jones,Jeremy Irons,1994
Beauty and the Beast,Paige O'Hara,Robbie Benson,Richard White,1991
Aladdin,Scott Weinger,Robin Williams,Linda Loomis,1992
The Little Mermaid,Jodi Benson,Christopher Daniel Barnes,Pat Carroll,1989
Toy Story,Tom Hanks,Tim Allen,Don Rickles,1995
A Bug's Life,Dave Foley,Kevin Spacey,Julia Louis-Dreyfus,1998
Finding Nemo,Albert Brooks,Ellen DeGeneres,Alexander Gould,2003
Up,Edward Asner,Christopher Plummer,Jordan Nagai,2009
Inside Out,Amy Poehler,Phyllis Smith,Richard Kind,2015
Moana,Auli'i Cravalho,Dwayne Johnson,Rachel House,2016
The Incredibles,Craig T. Nelson,Holly Hunter,Samuel L. Jackson,2004
Coco,Anthony Gonzalez,Gael García Bernal,Benjamin Bratt,2017
Brave,Kelly Macdonald,Billy Connolly,Emma Thompson,2012
The Princess and the Frog,Anika Noni Rose,Bruno Campos,Keith David,2009
Zootopia,Ginnifer Goodwin,Jason Bateman,Idris Elba,2016
Ratatouille,Brad Garrett,Lou Romano,Jane Lynch,2007
WALL-E,Ben Burtt,Elissa Knight,Jeff Garlin,2008
Frozen,Kristen Bell,Idina Menzel,Jonathan Groff,2013
Minions,Pierre Coffin,Sandra Bullock,Jon Hamm,2015
Harry Potter and the Sorcerer's Stone,Daniel Radcliffe,Rupert Grint,Emma Watson,2001
Harry Potter and the Chamber of Secrets,Daniel Radcliffe,Rupert Grint,Emma Watson,2002
Harry Potter and the Prisoner of Azkaban,Daniel Radcliffe,Rupert Grint,Emma Watson,2004
Harry Potter and the Goblet of Fire,Daniel Radcliffe,Rupert Grint,Emma Watson,2005
Harry Potter and the Order of the Phoenix,Daniel Radcliffe,Rupert Grint,Emma Watson,2007
Harry Potter and the Half-Blood Prince,Daniel Radcliffe,Rupert Grint,Emma Watson,2009
Harry Potter and the Deathly Hallows: Part 1,Daniel Radcliffe,Rupert Grint,Emma Watson,2010
Harry Potter and the Deathly Hallows: Part 2,Daniel Radcliffe,Rupert Grint,Emma Watson,2011
The Hunger Games,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,2012
Catching Fire,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,2013
Mockingjay: Part 1,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,2014
Mockingjay: Part 2,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,2015
The Avengers,Robert Downey Jr.,Chris Evans,Mark Ruffalo,2012
Iron Man,Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard,2008
Iron Man 2,Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,2010
Iron Man 3,Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,2013
Captain America: The First Avenger,Chris Evans,Hayley Atwell,Sebastian Stan,2011
Captain America: The Winter Soldier,Chris Evans,Scarlett Johansson,Sebastian Stan,2014
Captain America: Civil War,Chris Evans,Robert Downey Jr.,Scarlett Johansson,2016
Thor,Chris Hemsworth,Natalie Portman,Tom Hiddleston,2011
Thor: The Dark World,Chris Hemsworth,Natalie Portman,Tom Hiddleston,2013
