Movie Title,Actor 1,Actor 2,Actor 3,Year
Iron Man 2,Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,2010
Iron Man 3,Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,2013
Captain America: The First Avenger,Chris Evans (actor),Hayley Atwell,Sebastian Stan,2011
Captain America: The Winter Soldier,Chris Evans (actor),Scarlett Johansson,Samuel L. Jackson,2014
Captain America: Civil War,Chris Evans (actor),Robert Downey Jr.,Scarlett Johansson,2016
Thor,Chris Hemsworth,Natalie Portman,Tom Hiddleston,2011
Thor: The Dark World,Chris Hemsworth,Natalie Portman,Tom Hiddleston,2013
Thor: Ragnarok,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,2017
The Fantastic Four,Miles Teller,Kate Mara,Michael B. Jordan,2015
Doctor Strange,Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams,2016
Guardians of the Galaxy,Chris Pratt,Zoe Saldana,Dave Bautista,2014
Guardians of the Galaxy Vol. 2,Chris Pratt,Zoe Saldana,Dave Bautista,2017
Avengers: Age of Ultron,Robert Downey Jr.,Chris Evans (actor),Mark Ruffalo,2015
Avengers: Infinity War,Robert Downey Jr.,Chris Evans (actor),Mark Ruffalo,2018
Avengers: Endgame,Robert Downey Jr.,Chris Evans (actor),Mark Ruffalo,2019
The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,2015
The Revenant,Leonardo DiCaprio,Tom Hardy,Will Poulter,2015
The Hateful Eight,Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,2015
Mad Max: Fury Road,Tom Hardy,Charlize Theron,Nicholas Hoult,2015
The Martian,Matt Damon,Jessica Chastain,Kristen Wiig,2015
Star Wars: The Force Awakens,Harrison Ford,Mark Hamill,Carrie Fisher,2015
Star Wars: The Last Jedi,Mark Hamill,Carrie Fisher,Adam Driver,2017
Star Wars: The Rise of Skywalker,Carrie Fisher,Mark Hamill,Adam Driver,2019
Black Panther,Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,2018
Ant-Man,Paul Rudd,Michael Douglas,Corey Stoll,2015
Ant-Man and the Wasp,Paul Rudd,Evangeline Lilly,Michael Douglas,2018
Spider-Man: Homecoming,Tom Holland,Michael Keaton,Robert Downey Jr.,2017
Spider-Man: Far From Home,Tom Holland,Samuel L. Jackson,Cobie Smulders,2019
Captain Marvel,Brie Larson,Samuel L. Jackson,Ben Mendelsohn,2019
The Dark Knight,Christian Bale,Heath Ledger,Aaron Eckhart,2008
The Matrix,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,1999
Indiana Jones and the Raiders of the Lost Ark,Harrison Ford,Karen Allen,Paul Freeman,1981
E.T. the Extra-Terrestrial,Henry Thomas,Drew Barrymore,Peter Coyote,1982
Jurassic Park,Sam Neill,Laura Dern,Jeff Goldblum,1993
The Green Mile,Tom Hanks,Michael Clarke Duncan,David Morse,1999
The Lion King,Matthew Broderick,James Earl Jones,Jeremy Irons,1994
Forrest Gump,Tom Hanks,Robin Wright,Gary Sinise,1994
Good Will Hunting,Matt Damon,Robin Williams,Ben Affleck,1997
Titanic,Leonardo DiCaprio,Kate Winslet,Billy Zane,1997
The Shawshank Redemption,Tim Robbins,Morgan Freeman,Bob Gunton,1994
Harry Potter and the Sorcerer's Stone,Daniel Radcliffe,Rupert Grint,Emma Watson,2001
Harry Potter and the Chamber of Secrets,Daniel Radcliffe,Rupert Grint,Emma Watson,2002
Harry Potter and the Prisoner of Azkaban,Daniel Radcliffe,Rupert Grint,Emma Watson,2004
Harry Potter and the Goblet of Fire,Daniel Radcliffe,Rupert Grint,Emma Watson,2005
Harry Potter and the Order of the Phoenix,Daniel Radcliffe,Rupert Grint,Emma Watson,2007
Harry Potter and the Half-Blood Prince,Daniel Radcliffe,Rupert Grint,Emma Watson,2009
Harry Potter and the Deathly Hallows: Part 1,Daniel Radcliffe,Rupert Grint,Emma Watson,2010
Harry Potter and the Deathly Hallows: Part 2,Daniel Radcliffe,Rupert Grint,Emma Watson,2011
The Hunger Games,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,2012
Catching Fire,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,2013
Mockingjay: Part 1,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,2014
Mockingjay: Part 2,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,2015
The Avengers,Robert Downey Jr.,Chris Evans,Mark Ruffalo,2012
Frozen 2,Kristen Bell,Idina Menzel,Jonathan Groff,2019
The Lion King,Donald Glover,Beyoncé,James Earl Jones,2019
The Joker,Joaquin Phoenix,Robert De Niro,Zazie Beetz,2019
Once Upon a Time... in Hollywood,Leonardo DiCaprio,Brad Pitt,Margot Robbie,2019
Parasite,Song Kang-ho,Lee Sun-kyun,Cho Yeo-jeong,2019
1917,George MacKay,Dean-Charles Chapman,Mark Strong,2019
Knives Out,Daniel Craig,Chris Evans,Ana de Armas,2019
Dolemite Is My Name,Eddie Murphy,Wesley Snipes,Mike Epps,2019
The Irishman,Robert De Niro,Al Pacino,Joe Pesci,2019
The Social Network,Jesse Eisenberg,Andrew Garfield,Justin Timberlake,2010
Moneyball,Brad Pitt,Jonah Hill,Philip Seymour Hoffman,2011
Gravity,Sandra Bullock,George Clooney,Ed Harris,2013
Birdman,Michael Keaton,Edward Norton,Emma Stone,2014
The Big Short,Christian Bale,Steve Carell,Ryan Gosling,2015
Spotlight,Michael Keaton,Mark Ruffalo,Rachel McAdams,2015
Moonlight,Mahershala Ali,Alex R. Hibbert,Janelle Monáe,2016
La La Land,Ryan Gosling,Emma Stone,John Legend,2016
Hacksaw Ridge,Andrew Garfield,Sam Worthington,Luke Bracey,2016
